_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e7500002003612c"),1,AK,2014,737046,4684,41,553,629,3243,20334,3150,15445,1739
ObjectId("5ea70f340e7500002003612d"),1,AK,1979,406000,1994,54,292,445,1203,23193,5616,15076,2501
ObjectId("5ea70f340e7500002003612e"),1,AK,1980,440142,1919,39,250,360,1270,22930,5545,14916,2469
ObjectId("5ea70f340e7500002003612f"),1,AK,1981,412000,2537,60,421,472,1584,24634,5479,16310,2845
ObjectId("5ea70f340e75000020036130"),1,AK,1982,438000,2732,81,374,586,1691,24479,5204,16672,2603
ObjectId("5ea70f340e75000020036131"),1,AK,1983,479000,2940,66,486,465,1923,25889,5720,17085,3084
ObjectId("5ea70f340e75000020036132"),1,AK,1984,500000,3108,58,458,547,2045,27468,6184,18140,3144
ObjectId("5ea70f340e75000020036133"),1,AK,1985,521000,3031,51,402,484,2094,27588,6209,18220,3159
ObjectId("5ea70f340e75000020036134"),1,AK,1986,534000,3046,46,388,470,2142,30307,6204,20879,3224
ObjectId("5ea70f340e75000020036135"),1,AK,1987,525000,2391,53,341,384,1613,25841,5093,18195,2553
ObjectId("5ea70f340e75000020036136"),1,AK,1988,513000,2682,29,296,374,1983,22566,4321,15911,2334
ObjectId("5ea70f340e75000020036137"),1,AK,1989,527000,2623,42,279,356,1946,22567,4358,15811,2398
ObjectId("5ea70f340e75000020036138"),1,AK,1990,550043,2885,41,401,422,2021,25457,4919,17428,3110
ObjectId("5ea70f340e75000020036139"),1,AK,1991,570000,3499,42,523,645,2289,29000,5582,20375,3043
ObjectId("5ea70f340e7500002003613a"),1,AK,1992,587000,3877,44,579,640,2614,28816,5170,20728,2918
ObjectId("5ea70f340e7500002003613b"),1,AK,1993,599000,4557,54,502,733,3268,28795,4893,21201,2701
ObjectId("5ea70f340e7500002003613c"),1,AK,1994,606000,4644,38,418,886,3302,29947,4848,21824,3275
ObjectId("5ea70f340e7500002003613d"),1,AK,2017,739786,6338,62,,952,4250,26203,4167,17782,4254
ObjectId("5ea70f340e7500002003613e"),1,AK,2018,737438,6526,47,,896,4391,24339,3979,16364,3996
ObjectId("5ea70f340e7500002003613f"),1,AK,1996,607000,4417,45,398,710,3264,28667,5118,20557,2992
ObjectId("5ea70f340e75000020036140"),1,AK,1997,609000,4270,54,403,648,3165,27840,4276,20780,2784
ObjectId("5ea70f340e75000020036141"),1,AK,1998,614000,4015,41,421,532,3021,25316,4098,18611,2607
ObjectId("5ea70f340e75000020036142"),1,AK,1999,619500,3908,52,517,566,2773,23099,3787,16654,2658
ObjectId("5ea70f340e75000020036143"),1,AK,2000,626932,3554,27,497,490,2540,23087,3899,16838,2350
ObjectId("5ea70f340e75000020036144"),1,AK,2001,633630,3735,39,501,514,2681,23160,3847,16695,2618
ObjectId("5ea70f340e75000020036145"),1,AK,2002,641482,3627,33,511,489,2594,24118,3908,17739,2471
ObjectId("5ea70f340e75000020036146"),1,AK,2003,648280,3877,39,605,446,2787,24386,3874,18051,2461
ObjectId("5ea70f340e75000020036147"),5,AZ,1987,3386000,20742,253,1396,4687,14406,222663,55059,153296,14308
ObjectId("5ea70f340e75000020036148"),5,AZ,1989,3556000,21320,237,1286,4944,14853,265284,59284,181574,24426
ObjectId("5ea70f340e75000020036149"),5,AZ,2014,6728783,26422,311,2356,6225,16614,213406,43412,152683,17311
ObjectId("5ea70f340e7500002003614a"),5,AZ,2013,6634997,27576,355,2344,6656,17391,223294,48292,158036,16966
ObjectId("5ea70f340e7500002003614b"),5,AZ,1988,3466000,21147,294,1345,4750,14758,237808,54773,167121,15914
ObjectId("5ea70f340e7500002003614c"),5,AZ,2016,6908642,32542,389,3290,7045,21804,207317,38216,150618,18483
